nama_wisata,alamat,kabupaten,provinsi,deskripsi_wisata,sumber_deskripsi
Air Terjun Kalimalima,"5VQV+7WC, Moolo, Kec. Batukara, Kabupaten Muna, Sulawesi Tenggara 93674, Indonesia",Kabupaten Muna,Sulawesi Tenggara,"Adalah Air terjun Kalimalima namanya. Bak serpihan surga yang tersembunyi di tanah Muna, keindahannya menjadi rujukan wajib untuk berlibur, bagi mereka pecinta travelling.",https://zonasultra.id/air-terjun-kalimalima-serpihan-surga-tersembunyi-di-tebing-bukit-batukara/
Wisata Matabuntu,"C7P2+7VW, Ledu-Ledu",Kabupaten Konawe,Sulawesi Tenggara,Kabupaten ini juga memiliki keindahan pariwisata tersendiri yang patut diketahui oleh masyarakat luas. Berikut Kompas.com rangkum dari berbagai sumber.,https://travel.kompas.com/read/2021/08/02/150032227/pesona-wisata-konawe-kampung-halaman-apriyani-sang-peraih-emas-olimpiade
Pantai tupa,"7MR9+XG, Towale, Kec. Banawa Tengah, Kabupaten Donggala, Sulawesi Tengah 94351, Indonesia",Kabupaten Donggala,Sulawesi Tengah,-,-
Puncak dunu,"WJQW+2R2, Dunu, Kec. Anggrek, Kabupaten Gorontalo Utara, Gorontalo, Indonesia",Kabupaten Gorontalo Utara,Gorontalo,JawaPos.com – Desa Dunu merupakan salah satu desa wisata yang ada di Kabupaten Gorontalo Utara . Desa ini memiliki banyak potensi yang bisa dieksplor sebagai tujuan destinasi wisata .,https://www.jawapos.com/travelling/2509030585/menjelajahi-keindahan-desa-dunu-gorontalo-utara-dari-aktivitas-wisata-paralayang-hingga-konservasi-bayi-penyu
Permandian TompoE,"M6JC+GCH, Cabbeng, Kec. Dua Boccoe, Kabupaten Bone, Sulawesi Selatan 92753, Indonesia",Kabupaten Bone,Sulawesi Selatan,"KBRN, Bone: Water Park Pallette Bone Jadi Destinasi Liburan Keluarga pada masa libur sekolah. Wahana permandian ini ramai dikunjungi, terutama oleh keluarga yang membawa anak-anak untuk mengisi waktu liburan. Salah satu warga Bone, Ika, mengatakan lokasi water park ini cukup dekat dari tempat tinggalnya. Selain itu, akses jalan menuju lokasi juga sudah sangat mulus sehingga perjalanan terasa lebih cepat.",https://rri.co.id/bone/wisata/2082603/water-park-pallette-bone-jadi-destinasi-liburan-keluarga
Hidden Paradise Minahasa,"Jl. Tondano Kamangta, Suluan, Kabupaten Minahasa",Kabupaten Minahasa,Sulawesi Utara,"Minahasa selalu menyimpan kejutan. Di balik jalur perbukitan dan hawa sejuk khas Sulawesi Utara, tersembunyi sebuah ruang pelarian yang menenangkan: Hidden Paradise Minahasa . Tempat ini bukan sekadar destinasi wisata, tetapi sebuah pengalaman menyatu dengan alam, jauh dari hiruk-pikuk kota.",https://www.wondernusantara.com/landing/jelajahdetail/hidden-paradise-minahasa-oase-wisata-alam-di-jantung-sulawesi-utara
Sapaeng Beach,"HHJH+JRW, Kuma, Kec. Tabukan Tengah, Kabupaten Kepulauan Sangihe, Sulawesi Utara, Indonesia",Kabupaten Kepulauan Sangihe,Sulawesi Utara,"Pantai Sapaeng. Desa Wisata Kuma Malaesang, Kabupaten Kepulauan Sangihe, Sulawesi Utara. Profil Atraksi.",https://jadesta.kemenpar.go.id/atraksi/pantai_sapaeng
Pantai Sapelang,"GQQP+H6P, Apal, Kec. Buko Selatan, Kabupaten Banggai Kepulauan, Sulawesi Tengah, Indonesia",Kabupaten Banggai Kepulauan,Sulawesi Tengah,"Selain wilayah Bulagi, peningkatan jumlah wisatawan juga terjadi di Kecamatan Buko Selatan, tepatnya Pantai Kayu Bas Desa Sapelang. Memasuki momen lebaran tahun ini, jumlah pengunjung diperkirakan mencapai hingga 50 jiwa perhari. itu terjadi sejak hari pertama lebaran idul fitri hingga hari ketiga.",https://sultimnews.info/2021/05/17/jumlah-wisatawan-meningkat-polsek-jajaran-polres-bangkep-turlap/
Lembah Lambusango,"QRXW+G52, Wakangka, Kec. Kapontori, Kabupaten Buton, Sulawesi Tenggara 93755, Indonesia",Kabupaten Buton,Sulawesi Tenggara,"Hutan Lambusango merupakan kawasan konservasi di Kabupaten Buton, sekaligus menjadi objek wisata yang kaya pesona alam. Hutan ini terbagi menjadi Cagar Alam Kakenauwe dan Suaka Marga Satwa Lambusango.",https://www.celebes.co/hutan-lambusango-buton
Sumber Mata Air Kab. Bulukumba,"G84Q+52, Benjala, Kabupaten Bulukumba",Kabupaten Bulukumba,Sulawesi Selatan,"Wisata Bulukumba - Belum semua orang mengetahui, di balik tebing curam itu ada pesona bahari yang menakjubkan. Terlihat dari atas birunya la...",https://wisatabulukumba.blogspot.com/
Air Terjun Andulan,"63RH+5G, Siteba, Kec. Walenrang Utara, Kabupaten Luwu, Sulawesi Selatan, Indonesia",Kabupaten Luwu,Sulawesi Selatan,"Air Terjun Ma'gandang Andulan terletak di Desa Siteba, perjalanan sejauh 97,9 km dari Belopa dengan pemandangan sawah dan ladang.",https://sulsel.idntimes.com/travel/destination/menakjubkan-5-air-terjun-di-luwu-yang-terkenal-indah-00-lm183-pj91pp
Air Terjun kumapo dahu,"734M+24X, Unnamed Road, Andabia, Kec. Anggaberi, Kabupaten Konawe, Sulawesi Tenggara 93419, Indonesia",Kabupaten Konawe,Sulawesi Tenggara,"Dalam konteks Air Terjun Kumapodahu, pendekatan spasial membantu mengidentifikasi kawasan mana yang perlu dilestarikan, area yang cocok untuk infrastruktur wisata, serta penentuan jalur akses dan fasilitas yang sesuai. Analisis ini juga mempertimbangkan aspek konservasi lingkungan, dengan 40 f 41 mempertahankan keseimbangan antara pelestarian ...",https://id.scribd.com/document/904084901/PROPOSAL-KELOMPOK-1
Limbong Kambellun,"JC36+7J2, Batetangnga, Kec. Binuang, Kabupaten Polewali Mandar, Sulawesi Barat 91312, Indonesia",Kabupaten Polewali Mandar,Sulawesi Barat,"Pegunungan Limbong di Indonesia menawarkan pesona alam yang memukau dan beragam potensi ekowisata yang belum banyak dijelajahi. Keindahan alamnya yang asri dan keanekaragaman hayatinya menjadikannya destinasi yang menarik bagi para pecinta alam dan penggemar petualangan. Terletak di kawasan yang relatif terpencil, Pegunungan Limbong menyajikan pemandangan yang menakjubkan dan udara yang segar, jauh dari hiruk-pikuk perkotaan. Dengan potensi ekowisata yang besar, kawasan ini bisa menjadi pusat perhatian baru dalam industri pariwisata berkelanjutan di Indonesia.",https://dinaspop-polman.id/melihat-potensi-ekowisata-pegunungan-limbong/
Exotic Beach,"F484+PRC Pantai Exotic, Huangobotu, Kabupaten Bone Bolango",Kabupaten Bone Bolango,Gorontalo,Profil Daya Tarik Pariwisata Sekitar PANTAI NEW EXOTIC Pantai Botutonuo Lorong 1 Pantai Botutonuo Lorong 5 Botu Motoli'Oluwo,https://sisparnas.kemenpar.go.id/p/9466
Air Terjun Salbir,"77WX+8GW, Dengeng-Dengeng, Kec. Pitu Riase, Kabupaten Sidenreng Rappang, Sulawesi Selatan 90992, Indonesia",Kabupaten Sidenreng Rappang,Sulawesi Selatan,"Selanjutnya ada wisata Air Terjun Salbir yang juga menjadi salah satu Tempat Wisata di Sidrap atau kabupaten Sidenreng Rappang, provinsi Sulawesi Selatan yang bisa kalian datangi. Air terjun ini hanya berjarak kurang 100 meter dari jalan utama desa Dollah.",https://seringjalan.com/5-tempat-wisata-di-sidrap-sidenreng-rappang/
ANDI NYIWI PARK LUWU TIMUR,"937W+QXM, Malili, Kec. Malili, Kabupaten Luwu Timur, Sulawesi Selatan 92933, Indonesia",Kabupaten Luwu Timur,Sulawesi Selatan,"LUWU TIMUR,Timuronline – Sudah hampir sebulan terakhir Lapangan Andi Nyiwi Malili terus ramai dikunjungi warga. Sejak pemerintah membolehkan warga untuk beraktifitas di lapangan yang saat ini berganti nama menjadi Andi Nyiwi Park, ribuan warga pun antusias mengajak sanak keluarga untuk berwisata, berkumpul dan meluangkan waktu untuk bersenang-senang.",https://timur-online.com/malam-ini-ribuan-warga-malili-padati-andi-nyiwi-park/
Air Terjun Popontolen,"7J9P+W7C, Popontolen, Kec. Tumpaan, Kabupaten Minahasa Selatan, Sulawesi Utara, Indonesia",Kabupaten Minahasa Selatan,Sulawesi Utara,"Tak jauh dari Minahasa, ada air terjun yang wajib kamu sambangi, yakni Air Terjun Popontolen. Air terjun ini memiliki ketinggian sekitar 60 meter dengan pemandangan alam yang asri dan sejuk.",https://bobobox.com/blog/air-terjun-manado/
Permandian Bendungan Kandang,"J9P3+77, Papandangan, Kec. Anreapi, Kabupaten Polewali Mandar, Sulawesi Barat, Indonesia",Kabupaten Polewali Mandar,Sulawesi Barat,"Kabupaten Polewali Mandar (Polman), Sulawesi Barat (Sulbar) memiliki beragam potensi wisata alam salah satunya tempat permandian air panas bernama Uwai Makula. Permandian ini diyakini dapat mengobati berbagai jenis penyakit.",https://www.detik.com/sulsel/wisata/d-6322365/permandian-air-panas-di-polman-dipercaya-obati-berbagai-penyakit
Wisata Bahari Pantai Seta Seta,"8J8G+Q3, Poreang, Kec. Tana Lili, Kabupaten Luwu Utara, Sulawesi Selatan, Indonesia",Kabupaten Luwu Utara,Sulawesi Selatan,"Luwu Utara.metro-pendidikan.com . Pemerintah Kabupaten Luwu Utara melalui Dinas Pemuda, Olahraga, dan Pariwisata (Disporapar) Luwu Utara. menggelar Sosialisasi Pengelolaan Wisata Bahari Pantai Seta Seta, Rabu (27/8/2025), di Kantor Desa Munte Kecamatan Tanalili.",https://metro-pendidikan.com/pemkab-luwu-utara-sosialisasi-pengelolaan-wisata-bahari-pantai-seta-seta-dan-perda-pdrd-pastikan-legalitas-formal/
Pantai Wisata Pandanwangi,"Pantai Wisata Pandanwangi, Pandan Wangi, Kec. Toili Bar., Kabupaten Banggai, Sulawesi Tengah, Indonesia",Kabupaten Banggai,Sulawesi Tengah,"Banggai Kepulauan - Pantai Poganda bisa menjadi pilihan saat berwisata ke Banggai Kepulauan, Sulawesi Tengah. Pasir putih dengan rerimbunan pohon kelapa menjadi daya tarik.",https://travel.detik.com/fototravel/d-7008591/pesona-wisata-pantai-poganda-di-banggai-kepulauan
KJA Latoma,"43J3+7F5, Latoma, Kec. Unaaha, Kabupaten Konawe, Sulawesi Tenggara 93415, Indonesia",Kabupaten Konawe,Sulawesi Tenggara,Lokasi air terjun berada di wilayah kelola Kesatuan Pengeloaan Hutan Lindung (KPHL) Laiwoi yang secara administratif masuk dalam wilayah Kecamatan Latoma Kabupaten Konawe.,https://www.academia.edu/128488025/Studi_Kelayakan_Air_Terjun_Awesalo_Sebagai_Wisata_Alam_Untuk_Mendukung_Konservasi_DI_Wilayah_KPHL_Laiwoi
Gunung Bahonglangi,"VWCP+7MX, Bontojai, Kec. Bontocani, Kabupaten Bone, Sulawesi Selatan 90561, Indonesia",Kabupaten Bone,Sulawesi Selatan,"Dec 18, 2019 · Bulu bahonglangi terletak di kabupaten Bone, tepatnya di dusun Bahonglangi, desa Bontojai, kecamatan Bontocani. Gunung ini memiliki letak yang strategis yang berada diantara tiga kabupaten yang ada disulawesi selatan yaitu kabupaten Bone, Kabupaten Gowa, dan kabupaten Maros, ketinggian bulu Bahonglangi mencapai 1949 Meter diatas permukaan laut.",https://mpagloeocapsa.blogspot.com/2019/12/eksplorasi-gunung-bahonglangi.html
Objek Wisata Lamperangan,"4HVV+PF4, Kabba, Kec. Minasatene, Kabupaten Pangkajene Dan Kepulauan, Sulawesi Selatan 90614, Indonesia",Kabupaten Pangkajene Dan Kepulauan,Sulawesi Selatan,"Secara garis besar wilayah daratan Kabupaten Pangkajene, dan Kepulauan ditandai dengan bentang alam wilayah dari daerah dataran rendah sampai pegunungan, di mana potensi cukup besar juga terdapat pada wilayah daratan Kabupaten Pangkajene, dan Kepulauan yaitu ditandai dengan terdapatnya sumber daya alam berupa hasil tambang, seperti batu bara, marmer, dan semen. Disamping itu potensi pariwisata alam yang mampu menembah pendapatan daerah.",https://id.wikipedia.org/wiki/Kabupaten_Pangkajene_dan_Kepulauan
Wisata Salo Rumpiae,"FM56+78, Lompo Tengah, Kec. Tanete Riaja, Kabupaten Barru, Sulawesi Selatan 90762, Indonesia",Kabupaten Barru,Sulawesi Selatan,"Wisata Pantai Ujung Batu Barru | Pantai Ujung Batu terletak di Kelurahan Sumpang Binangae, Kabupaten Barru, Provinsi Sulawesi Selatan, Indonesia.",https://anekawisatanusantara.blogspot.com/2016/04/wisata-pantai-ujung-batu-barru.html
Pantai Saleo,"VCR8+9VC, Saleo, Kec. Bolang Itang Tim., Kabupaten Bolaang Mongondow Utara, Sulawesi Utara, Indonesia",Kabupaten Bolaang Mongondow Utara,Sulawesi Utara,Salah satu wisata potensial yang dimiliki Indonesia adalah Pantai Saleo yang terletak di Indonesia Timur. Penasaran dengan keindahan Pantai Saleo? Yuk simak beberapa ulasan berikut ini!,https://www.idntimes.com/travel/destination/10-potret-pantai-saleo-surga-tersembunyi-di-raja-ampat-01-4jzxt-nyn95v
Objek Wisata Hutan Bambu To' Kumila',"4V35+G67, Tonga Riu, Kabupaten Toraja Utara",Kabupaten Toraja Utara,Sulawesi Selatan,"Objek Wisata Hutan Bambu To' Kumila' terletak di sebuah desa yang sejuk di daerah pegunungan. Hutan bambu ini memiliki keindahan alam yang menakjubkan, dengan pepohonan bambu yang menjulang tinggi dan membentuk kanopi yang memberikan pengunjung rasa sejuk dan teduh. Suasana tenang dan damai mewarnai seluruh area h",https://www.tempatwisata.pro/wisata/Objek-Wisata-Hutan-Bambu-To'-Kumila'
Air Terjun,"35R3+23, Labota, Kec. Bahodopi, Kabupaten Morowali, Sulawesi Tengah, Indonesia",Kabupaten Morowali,Sulawesi Tengah,"Wisata air yang terdapat di daerah Morowali terdiri dari air terjun, pantai, dan gugusan pulau dengan keindahan bawah lautnya.",https://keluyuran.com/tempat-wisata-di-morowali/
Wisata Bukit Harapan Gowa,"Bujjulu, Jl. Bukit Harapan No.8, Bontoparang, Kec. Parangloe, Kabupaten Gowa, Sulawesi Selatan 90562, Indonesia",Kabupaten Gowa,Sulawesi Selatan,"Di selatan Makassar, terdapat Kabupaten Gowa yang memiliki beragam tempat wisata yang menarik. Tempat pariwisata Gowa ini mulai dari wisata alam, wisata buatan, wisata sejarah, hingga religi.",https://travel.detik.com/domestic-destination/d-7465518/15-tempat-pariwisata-gowa-daya-tarik-lokasi-harga-tiket
Objek wisata terumbu karang Adhyaksa dan hutan bakau Adhyaksa,"FF9Q+6JF, Bone Baru, Banggai Utara, Kabupaten Banggai Kepulauan, Sulawesi Tengah 94891, Indonesia",Kabupaten Banggai Kepulauan,Sulawesi Tengah,"Penegakan hukum secara humanis dan mencintai alam secara sahaja membutuhkan hati nurani yang tulus dan KN Banggai Laut melaksanakannya secara total. Salute. melaporkan menjawab Novi 0 25 Agustus 2022 0:47 Kejaksaan Negeri Banggai Laut bekerja sama dengan warga Bone Baru untuk menggali potensi yang sangat besar dari keindahan bawah laut Bone Baru Kabupaten Bang... Sep 21, 2020 · MH menyampaikan, bahwa pencanangan obyek Wisata Terumbu Karang dan Hutan Bakau Adhyaksa di Bone Baru ini merupakan awal untuk menciptakan obyek wisata baru di Kabupaten Banggai Laut yang nantinya akan di tetapkan...",https://idfirms.com/sulawesi-tengah/objek-wisata-terumbu-karang-adhyaksa-dan-hutan-bakau-adhyaksa-516604
Blue Lagoon Labengki,"GFC5+7QC, Labengi, Kec. Lasolo, Kabupaten Konawe Utara, Sulawesi Tenggara 93352, Indonesia",Kabupaten Konawe Utara,Sulawesi Tenggara,Kendari (ANTARA) - Pulau Labengki memiliki keindahan alam yang eksotis. Pulau yang disebut-sebut sebagai miniatur Raja Ampat itu sangat memanjakan mata wisatawan karena memiliki berbagai spot menarik. Pulau Labengki memang jarang terdengar di telinga kebanyakan orang. Padahal pulau ini memiliki panorama keindahan yang luar biasa yang sangat sayang untuk dilewatkan. Pemandangan bak Raja Ampat bisa dijumpai di Pulau Labengki.,https://sultra.antaranews.com/berita/439089/keindahan-pulau-labengki-di-konawe-utara-miniatur-raja-ampat-di-konawe
Senja Beloka,"FP4R+5XJ, Katolemando, Sandang Pangan",Kabupaten Sinjai,Sulawesi Selatan,-,-
Air Terjun Kembes,"9VMF+JX, Kembes II, Kec. Tombulu, Kabupaten Minahasa, Sulawesi Utara, Indonesia",Kabupaten Minahasa,Sulawesi Utara,"May 14, 2025 · Sekira perjalanan 15 menit dari desa Kembes, Minahasa, menggunakan kendaraan, untuk mengakses air terjun ini. Setibanya di lokasi parkiran, hanya perlu berjalan kaki 10 menit untuk sampai di air terjun indah tersebut. Namun kedatangan ini bukan untuk sekedar berenang atau menikmati deburan dibawah air terjun.",https://manadopost.jawapos.com/berita-utama/286008559/ini-cara-berbeda-menikmati-keindahan-air-terjun-di-sulawesi-utara-dengan-sensasi-menantang-dihadirkan-abseiling-sulut-untuk-penikmat-kegiatan-ekstrem
Air Terjun Bobaa,"7RXH+F7W, Unnamed Road, Boba, Kec. Bungku Utara, Kabupaten Morowali Utara, Sulawesi Tengah 94972, Indonesia",Kabupaten Morowali Utara,Sulawesi Tengah,-,-
Puncak Savana Puuhopa,"W3RG+77W, Puuhopa, Kec. Puriala, Kabupaten Konawe, Sulawesi Tenggara 93464, Indonesia",Kabupaten Konawe,Sulawesi Tenggara,"terletak tidak jauh dari kecamatan UEPAI tepatnya berada di Puuhopa, Kec. Puriala, Kabupaten Konawe, Sulawesi Tenggara.menjadikan puncak savana sebagai salah satu spot mendaki favorit.",https://uepai.digitaldesa.id/wisata/puncak-savana
Gua Koo,"M997+MFV, Lakorua, Kec. Mawasangka Tengah, Kabupaten Buton, Sulawesi Tenggara 93762, Indonesia",Kabupaten Buton,Sulawesi Tenggara,"Gua Koo terbentuk dari proses pelarutan batuan kapur (karst) selama jutaan tahun. Memasuki kawasan ini, pengunjung akan disambut oleh mulut gua yang cukup lebar dengan vegetasi hijau yang rimbun di sekelilingnya. Salah satu fitur alam yang paling menonjol adalah formasi batuan sedimen yang menggantung dari langit-langit gua (stalaktit) dan yang tumbuh dari dasar gua (stalagmit).",https://www.geokepo.id/id/lokasi/buton-tengah/gua-koo
Air Terjun Maccading,"F5CM+R8, Ulaweng Cinnong, Kec. Ulaweng, Kabupaten Bone, Sulawesi Selatan, Indonesia",Kabupaten Bone,Sulawesi Selatan,"Air Terjun Maccading di Desa Ulaweng Cinnong, Bone, menawarkan keindahan alam yang masih alami dengan kolam jernih dan panorama hutan tropis.",https://www.sulawesipos.com/travel/2026/01/14/air-terjun-maccading-bone-wisata-alam-ulaweng-yang-masih-alami/
Parkiran Air Terjun (Kali),"9RWV+83P, Kali, Kec. Pineleng, Kabupaten Minahasa, Sulawesi Utara, Indonesia",Kabupaten Minahasa,Sulawesi Utara,-,-
Taman Pantai Bone Baru,"FF9V+636, Bone Baru, Banggai Utara, Kabupaten Banggai Kepulauan, Sulawesi Tengah 94891, Indonesia",Kabupaten Banggai Kepulauan,Sulawesi Tengah,"Rekomendasi tempat wisata di Banggai Kepulauan yang terakhir dari kami adalah Bone Pololoba yang sangat indah banget, bahkan disebut-sebut sebagai Bali-nya Banggai Kepulauan.",https://tempatwisataseru.com/tempat-wisata-di-banggai-kepulauan/
Permandian sungai jernih,"F6MJ+R52, Usa, Kabupaten Bone",Kabupaten Bone,Sulawesi Selatan,"Memorial site, local landmark Permandian sungai jernih South Sulawesi, Bone Regency. Get directions in Yandex Maps.",https://yandex.com/maps/org/permandian_sungai_jernih/19023180492/
Wisata Buntu Nangka (Palopo),"X5C9+4P3, Peta, Kec. Sendana, Kota Palopo, Sulawesi Selatan, Indonesia",Kota Palopo,Sulawesi Selatan,"Objek wisata ini berlokasi di Kelurahan Peta, Kecamatan Sendana, Kota Palopo , Sulawesi Selatan, dan menawarkan panorama keindahan Kota Palopo dari ketinggian.",https://makassar.tribunnews.com/travel/1823173/buntu-pasang-palopo-destinasi-wisata-baru-dengan-panorama-kota-dari-ketinggian
Gua Susundeng,"CWFC+7R5, Pandaluk, Kec. Bulagi Sel., Kabupaten Banggai Kepulauan, Sulawesi Tengah 94882, Indonesia",Kabupaten Banggai Kepulauan,Sulawesi Tengah,"Gua Susundeng adalah objek wisata berupa gua yang terletak di Desa Pandaluk , Kecamatan Bulagi Selatan , Kabupaten Banggai Kepulauan , Sulawesi Tengah . Di dalam gua ini terdapat stalagmit dan stalaktit yang indah, serta kolam air yang jernih. [ 1 ]",https://id.wikipedia.org/wiki/Gua_Susundeng
air terjun wambalamba,"JW63+MPR, Winning, Kec. Ps. Wajo, Kabupaten Buton, Sulawesi Tenggara 93754, Indonesia",Kabupaten Buton,Sulawesi Tenggara,-,-
Pantai Kasambang,"4V7P+62P, Kasambang, Kec. Tapalang, Kabupaten Mamuju, Sulawesi Barat 91352, Indonesia",Kabupaten Mamuju,Sulawesi Barat,"Kasambang adalah kelurahan di kecamatan Tapalang, Kabupaten Mamuju, Sulawesi Barat, Indonesia. Pranala luar.","https://id.wikipedia.org/wiki/Kasambang,_Tapalang,_Mamuju"
Air Terjun Tembang Luk Sagu,"PCCG+9GM, Luk Sagu, Kec. Tinangkung Utara, Kabupaten Banggai Kepulauan, Sulawesi Tengah 94885, Indonesia",Kabupaten Banggai Kepulauan,Sulawesi Tengah,"Selanjutnya, kalian bisa mengunjungi Air Terjun Tembang. Tempat ini juga merupakan pemandangan alam yang wajib kalian kunjungi, karena memiliki keindahannya tersendiri. Kalau kalian lihat, air terjun mengalir secara bebas dari tebing-tebing yang bertingkat. Selain itu, pepohonan hijau yang rindang juga menambah kesejukan yang ada di sekitar air terjun ini.",https://yoexplore.co.id/wisata-sulawesi-tengah/
Museum Daerah Kab Banggai _Bekas Rumah Capitan,"3Q3X+G3H, Jl. Ahmad Yani, Luwuk, Kabupaten Banggai, Sulawesi Tengah 94712, Indonesia",Kabupaten Banggai,Sulawesi Tengah,Interior View of Museum Daerah Kab Banggai _Bekas Rumah Capitan.7 years ago on Google • 373 reviews. Angkat jempol untuk pemda banggai. Punya museum daerah itu tidak mudah.,https://www.top-rated.online/cities/Lumpoknyo/place/p/10606117/Museum+Daerah+Kab+Banggai+_Bekas+Rumah+Capitan
Bukit Kaju Angin,"345R+RR, Battang, Kec. Wara Bar., Kota Palopo, Sulawesi Selatan, Indonesia",Kota Palopo,Sulawesi Selatan,"Feb 24, 2026 · Bukit Kaju Angin hadir sebagai destinasi wisata alam yang menawarkan keindahan panorama perbukitan dengan udara sejuk dan menyegarkan. Akses menuju lokasi sangat mudah, dapat dilalui oleh motor maupun mobil dengan kondisi jalan beraspal. Saat ini Bukit Kaju Angin terus dikembangkan, termasuk pembangunan kolam wisata, sehingga menjadi tempat yang menarik untuk rekreasi, bersantai, dan menikmati ...",https://dtwpalopo.com/detail/6
Pantai Monano ( Gorontalo Utara ),"VMRW+7QC, Monas, Kec. Anggrek, Kabupaten Gorontalo Utara, Gorontalo 96525, Indonesia",Kabupaten Gorontalo Utara,Gorontalo,"Salah satu destinasi wisata Bahari yang wajib dikunjungi saat liburan ke daerah ini adalah Pantai Monano. Pantai Monano merupakan pantai populer yang berlokasi di Kabupaten Gorontalo Utara, Provinsi Gorontalo.",https://www.msn.com/id-id/travel/perjalanan-petualangan/menikmati-keindahan-pantai-monano-di-gorontalo-utara-destinasi-wisata-bahari-dengan-pesona-alam-menakjubkan/ar-AA1MytBf
Pantai Batukarapu,"JF94+252, Lowa, Bontosikuyu, Kab. Kepulauan Selayar, Sulawesi Selatan 92855, Indonesia",Kabupaten Kepulauan Selayar,Sulawesi Selatan,"Meski fasilitas penginapan belum tersedia, pantai yang berjarak sekitar 40 km di selatan Kota Benteng ini menawarkan keindahan alam bak Pantai Durdle Door di Inggris. Ya, Batukarapu mempunyai keunikan berupa pantai berlubang yang menjorok ke laut seperti sebuah pintu.",https://www.idntimes.com/travel/destination/5-wisata-pantai-terpopuler-di-selayar-cocok-untuk-tempat-healing-01-432rm-llbz1l
Pango Pango Eco Green Park,"Kelurahan Pasang, Kec. Makale Sel., Kabupaten Tana Toraja, Sulawesi Selatan 91815, Indonesia",Kabupaten Tana Toraja,Sulawesi Selatan,"Agrowisata Pango-Pango merupakan kawasan wisata kebun kopi dan beragam hasil bumi lainnya yang berada di kota Makale, tepatnya diatas puncak gunung Pango-Pango dengan ketinggian 1600-1700 mdpl.",https://www.idntimes.com/travel/destination/9-potret-keindahan-pango-pango-tana-toraja-c1c2-01-3w2gg-57nv3k
Pantai Tasik Oki,"Pantai Tasik Oki, Tanjung Merah, Matuari, Bitung City, North Sulawesi, Indonesia",Kota Bitung,Sulawesi Utara,"Destinasi bahari di Tanjung Merah, Minahasa Utara, dengan panorama pantai tropis yang masih asli. Tasik Oki menyajikan keindahan matahari terbenam dan pasir pantai alami, serta potensi wisata keluarga seperti lomba memancing dan parade perahu hias",https://ptppsu.com/
Pantai Kapuk Toboli,"836M+6R3, Jl. Trans Sulawesi, Toboli, Kec. Parigi Utara, Kabupaten Parigi Moutong, Sulawesi Tengah, Indonesia",Kabupaten Parigi Moutong,Sulawesi Tengah,"Puncak ini lebih tepatnya berada di desa Toboli. Di puncak ini setiap pengunjung bisa menikmati keindahan alam seperti pantai. Uniknya lagi, saat berada di puncak ini bisa merasakan sensasi berbeda dengan banyaknya spesies kera.",https://waktu.news/tempat-wisata-parigi-moutong/
Makam Raja Todilaling,"G2JP+6V3, Napo, Kec. Limboro, Kabupaten Polewali Mandar, Sulawesi Barat 91354, Indonesia",Kabupaten Polewali Mandar,Sulawesi Barat,"POLEWALI MANDAR,- Masyarakat suku Mandar yang umumnya mendiami Kabupaten Polewali Mandar (Polman), Sulawesi Barat, memiliki cerita seorang Raja bernama I Manyambungi bergelar Todzilaling yang dimakamkan bersama 14 dayang setia. Para dayang itu dimakamkan dalam kondisi masih hidup sebagai bentuk kesetiaan kepada sang raja.",http://paceko.com/2025/02/cerita-todzilaling-raja-balanipa-di-mandar-yang-dikubur-bersama-14-dayang-setia/
Pantai Lito Mohinggito,"Unnamed Road, WVGG+2P3, Moluo, Kec. Kwandang, Kabupaten Gorontalo Utara, Gorontalo, Indonesia",Kabupaten Gorontalo Utara,Gorontalo,Pulau Saronde disebut juga Lito Saronde dalam bahasa Gorontalo. Lito berarti Pulau dan Saronde adalah nama tarian khas masyarakat disana.,https://id.wikipedia.org/wiki/Pulau_Saronde
Obyek Wisata Telaga Tambing,"M8F4+3XJ, Sedoa, Kec. Lore Utara, Kabupaten Poso, Sulawesi Tengah 94653, Indonesia",Kabupaten Poso,Sulawesi Tengah,"Danau Tambing ( bahasa Pamona : Rano Kalimpa'a, Rano Tambing code: pmf is deprecated ), adalah sebuah danau yang terletak di desa Sedoa , Lore Utara , Kabupaten Poso . Danau ini terletak pada ketinggian sekitar 1.700 meter dari permukaan laut . Danau Tambing merupakan salah satu bagian dari wilayah Taman Nasional Lore Lindu . Danau ini dikelola oleh Balai Besar Taman Nasional Lore Lindu dan juga Pemerintah Kabupaten Poso sebagai bagian dari wilayah Kabupaten Poso.",https://id.wikipedia.org/wiki/Danau_Tambing
Pantai Widodo,"43V6+P66, Jl. Poros Rumbia Tengah-Mata Oleo, Lora, Mata Oleo, Kabupaten Bombana, Sulawesi Tenggara, Indonesia",Kabupaten Bombana,Sulawesi Tenggara,"Pantai Widodo di Bombana adalah pantai pasir putih yang menyuguhkan panorama alam eksotis dan menakjubkan, serta menawarkan berbagai aktivitas seru.",https://www.celebes.co/pantai-widodo-bombana
